Timestamp,Username,VideoID,Comment,Date,Cleaned_Comment,Sentiment
2024-03-11T11:27:35Z,@archanavaidya5236,xKoHH5pTVvo,Very inspiring... Just superb 😊,2024-03-11T11:27:35Z,inspiring superb,positive
2024-03-11T10:12:43Z,@babukisan2346,xKoHH5pTVvo,Hindi Mai bolo mem😂,2024-03-11T10:12:43Z,hindi mai bolo mem,neutral
2024-03-10T01:18:28Z,@user-yl1fm3he9g,xKoHH5pTVvo,Terrific clarity and simplicity !!,2024-03-10T01:18:28Z,terrific clarity simplicity,neutral
2024-03-08T17:16:41Z,@ourindia1457,xKoHH5pTVvo,"want to tell this to the company, that 
Gas is being stolen by someone from your company. I have a proof regarding this . Today I faced this situation 

Which is very bad and I will take strict legal action against it
I  feel that from 2 month that my refill  consume very fastly  then today I arrange a weight machine and check that then I find 1.5 kg less 😱
I am not understand who person involved under this fraud delivery employees or may be also area distributor",2024-03-08T17:16:41Z,want tell company gas stolen someone company proof regarding today faced situation bad take strict legal action feel month refill consume fastly today arrange weight machine check find kg less understand person involved fraud delivery employees may also area distributor,negative
2024-03-08T14:33:18Z,@kishorprayag7555,vdCmW2KbYIM,Really interesting to know about your journey. All the best for your future 💐💐,2024-03-08T14:33:18Z,really interesting know journey best future,positive
2024-03-08T03:29:42Z,@sonalibhuta692,vdCmW2KbYIM,Heartiest congratulations Aveetha.. You are truly amazing ❤,2024-03-08T03:29:42Z,heartiest congratulations aveetha truly amazing,positive
2024-03-07T18:24:16Z,@reshmaarole7751,vdCmW2KbYIM,Congratulations on all your achievements Aveetha! Wonderful and a  very inspiring interview ! Totally agree with your view that in order to grwo sometimes one must unlearn to learn and accept something new.,2024-03-07T18:24:16Z,congratulations achievements aveetha wonderful inspiring interview totally agree view order grwo sometimes one must unlearn learn accept something new,positive
2024-03-07T18:18:50Z,@bindukapila364,vdCmW2KbYIM,Proud of u Aveeta. Keep going❤,2024-03-07T18:18:50Z,proud u aveeta keep going,positive
2024-03-07T17:31:26Z,@ankitkejriwal7239,vdCmW2KbYIM,Congrats Aveetha Mam🎉,2024-03-07T17:31:26Z,congrats aveetha mam,neutral
2024-03-07T16:51:10Z,@chandrikaskitchenkrafts856,vdCmW2KbYIM,"Congratulations!!!!
Your journey is really motivational to many...
👏👏👏👏👏",2024-03-07T16:51:10Z,congratulations journey really motivational many,positive
2024-03-07T15:16:37Z,@pratiktawde7427,vdCmW2KbYIM,True inspiration. congratulations & Thank you mam,2024-03-07T15:16:37Z,true inspiration congratulations thank mam,positive
2024-03-07T10:18:34Z,@prajaktaathavale4191,vdCmW2KbYIM,"Honestly, your journey is really an inspiring one and your dedication says it all👏",2024-03-07T10:18:34Z,honestly journey really inspiring one dedication says,positive
2024-03-07T08:54:14Z,@Manoj-zv6pb,vdCmW2KbYIM,Congratulations Aveetha it's an honour and and proud moment for all of us and an inspiration to many. Our best wishes shall always be with you as you continue achieving accolades and recognition.,2024-03-07T08:54:14Z,congratulations aveetha honour proud moment us inspiration many best wishes shall always continue achieving accolades recognition,positive
2024-03-07T08:42:27Z,@raghuveernistala86,vdCmW2KbYIM,Congratulations Aveethaji !!!  Best wishes for your onward journey👍👍👍,2024-03-07T08:42:27Z,congratulations aveethaji best wishes onward journey,positive
2024-03-07T08:38:44Z,@prajaktaathavale4191,vdCmW2KbYIM,Heartiest congrats Aveetha di 🎉,2024-03-07T08:38:44Z,heartiest congrats aveetha di,neutral
2024-03-07T08:04:21Z,@user-pv2zk5jz3j,vdCmW2KbYIM,Your are truly inspiring.. congratulations and best wishes for your onward journey,2024-03-07T08:04:21Z,truly inspiring congratulations best wishes onward journey,positive
2024-03-07T08:02:53Z,@user-pv2zk5jz3j,vdCmW2KbYIM,You are truly amazing and your journey is very inspiring. Congratulations on your achievements and best wishes for your onward journey..,2024-03-07T08:02:53Z,truly amazing journey inspiring congratulations achievements best wishes onward journey,positive
2024-03-07T08:00:52Z,@KrutikaVerlekar-cj5ch,vdCmW2KbYIM,Proud of you Mam,2024-03-07T08:00:52Z,proud mam,positive
